Day,Forecast_Close,Forecast_Date
1,112.13385,2025-04-14
2,107.37567,2025-04-15
3,106.231964,2025-04-16
4,107.434685,2025-04-17
5,103.84745,2025-04-18
6,105.22516,2025-04-21
7,104.0968,2025-04-22
8,110.64959,2025-04-23
9,111.063545,2025-04-24
10,105.44031,2025-04-25
11,110.6046,2025-04-28
12,112.31927,2025-04-29
13,108.397995,2025-04-30
14,103.58885,2025-05-01
15,108.142365,2025-05-02
16,111.39435,2025-05-05
17,106.61123,2025-05-06
18,106.568405,2025-05-07
19,104.53658,2025-05-08
20,107.883934,2025-05-09
21,109.23541,2025-05-12
22,109.287445,2025-05-13
23,107.99828,2025-05-14
24,109.99325,2025-05-15
25,106.16874,2025-05-16
26,100.70583,2025-05-19
27,101.7722,2025-05-20
28,102.073395,2025-05-21
29,103.508156,2025-05-22
30,109.90444,2025-05-23
31,111.29843,2025-05-26
32,109.74195,2025-05-27
33,104.2877,2025-05-28
34,104.44038,2025-05-29
35,105.91233,2025-05-30
36,103.80683,2025-06-02
37,105.45981,2025-06-03
38,110.77656,2025-06-04
39,114.881165,2025-06-05
40,108.00081,2025-06-06
41,108.82048,2025-06-09
42,114.433395,2025-06-10
43,111.03724,2025-06-11
44,105.96981,2025-06-12
45,111.21623,2025-06-13
46,110.01246,2025-06-16
47,109.54012,2025-06-17
48,106.56156,2025-06-18
49,108.49744,2025-06-19
50,107.87108,2025-06-20
