Day,Forecast_Close,Forecast_Date
1,135.4488,2025-01-01
2,134.75778,2025-01-02
3,136.76692,2025-01-03
4,137.62296,2025-01-06
5,137.3078,2025-01-07
6,138.18138,2025-01-08
7,137.47667,2025-01-09
8,139.03957,2025-01-10
9,139.45728,2025-01-13
10,139.19821,2025-01-14
11,138.57448,2025-01-15
12,137.72142,2025-01-16
13,136.17314,2025-01-17
14,136.50256,2025-01-20
15,136.7199,2025-01-21
16,138.6227,2025-01-22
17,139.98096,2025-01-23
18,144.98665,2025-01-24
19,144.8847,2025-01-27
20,142.65189,2025-01-28
21,139.04643,2025-01-29
22,135.11232,2025-01-30
23,137.33325,2025-01-31
24,136.21387,2025-02-03
25,136.77292,2025-02-04
26,138.39142,2025-02-05
27,137.78702,2025-02-06
28,140.06178,2025-02-07
29,144.16655,2025-02-10
30,143.67255,2025-02-11
31,140.72252,2025-02-12
32,140.33255,2025-02-13
33,140.08052,2025-02-14
34,140.80447,2025-02-17
35,140.89925,2025-02-18
36,139.5938,2025-02-19
37,135.2716,2025-02-20
38,135.50754,2025-02-21
39,135.58698,2025-02-24
40,136.22638,2025-02-25
41,138.67264,2025-02-26
42,138.5336,2025-02-27
43,138.10056,2025-02-28
44,137.23582,2025-03-03
45,137.73201,2025-03-04
46,136.72476,2025-03-05
47,138.23509,2025-03-06
48,138.60028,2025-03-07
49,139.75587,2025-03-10
50,144.54698,2025-03-11
